date,amount,merchant,category,description,source,tags
2024-05-23,-18.2000,Costco,Restaurants,pizza + 2 chicken bakes + 2 hot dogs,manual,['Brother Rent']
2024-05-24,-109.6500,Zenni Optical Inc.,Personal Care,,Discover,['Brother Rent']
2024-05-24,-69.4700,Shaanxi Gourmet,Restaurants,,Chase,[]
2024-05-25,-11.0000,Mei Mei bakery,Groceries,Chinese bread + 1 种子,manual,[]
2024-05-25,-117.8100,Jiffy Lube,"Gas, Transportation",,Chase,['Brother Rent']
2024-05-25,-126.0000,Stop & Shop,Groceries,,Chase,['Brother Rent']
2024-05-25,-47.3700,Big Fun Cafe,Restaurants,,Chase,[]
2024-05-26,-85.0000,Taiwan Cafe,Restaurants,,Chase,[]
2024-05-26,-46.5000,Stillwater,Restaurants,,Chase,[]
2024-05-27,-10.6200,AT&T,Utilities,,Discover,[]
2024-05-28,-10.0000,Chipotle Mexican Grill,Restaurants,,Chase,[]
2024-05-31,-17.7600,Nori Sushi,Restaurants,,Chase,[]
2024-05-31,-6.7400,Kung Fu Tea,Coffee Shops,,Chase,[]
2024-05-31,-12.9500,Terra Nossa,Shopping,,Chase,[]
2024-05-31,-35.0000,Adidas,Shopping,,Discover,[]
2024-05-31,-45.0000,Baystategam,Entertainment,,Discover,[]
2024-06-01,15.8300,PURCHASE ADJUSTMENT,"Payment, Transfer",,Capital One,[]
2024-06-01,-19.8000,Uniqlo,Shopping,,Chase,[]
2024-06-01,-173.0600,Stop & Shop,Groceries,,Chase,['Brother Rent']
2024-06-01,15.8300,PURCHASE ADJUSTMENT,"Payment, Transfer",,Capital One,[]
2024-06-01,-19.8000,Uniqlo,Shopping,,Chase,[]
2024-06-01,-173.0600,Stop & Shop,Groceries,,Chase,['Brother Rent']
2024-06-02,27.9100,DIRECTPAY FULL BALANCE,"Payment, Transfer",,Discover,[]
2024-06-03,183.1100,CAPITAL ONE AUTOPAY PYMT AuthDate 02-Jun,"Payment, Transfer",,Capital One,[]
2024-06-03,140.0400,AUTOMATIC PAYMENT - THANK,"Payment, Transfer",,Chase,[]
2024-06-04,-10.0000,Chipotle Mexican Grill,Restaurants,,Chase,[]
2024-06-06,-22.1100,Wattspremie,"Payment, Transfer",,Discover,['Brother Rent']
2024-06-06,-12.8400,Chipotle Mexican Grill,Restaurants,,Chase,[]
2024-06-07,-48.8500,La Pupusa Loca,Restaurants,,Chase,[]
2024-06-09,-46.3700,A.l. Prime,"Gas, Transportation",,Discover,['Brother Rent']
2024-06-10,-100.0000,Lunch Money,"Payment, Transfer",,Discover,[]
2024-06-11,-10.0000,Chipotle Mexican Grill,Restaurants,,Chase,[]
2024-06-13,-4.9900,Stop & Shop,Groceries,,Discover,['Brother Rent']
2024-06-13,-140.6400,Stop & Shop,Groceries,,Discover,['Brother Rent']
2024-06-14,-34.5600,Cheesystreetgrill,Restaurants,,Chase,[]
2024-06-15,-163.5700,Jjh Dashcam,"Payment, Transfer",,Discover,['Brother Rent']
2024-06-18,-10.0000,Chipotle Mexican Grill,Restaurants,,Chase,[]
2024-06-21,-58.6300,Second Street Market,Groceries,,Chase,['Brother Rent']
2024-06-22,-6.3600,CVS,Groceries,Stainless Steel Stovetop Cleaner,Chase,['Brother Rent']
2024-06-24,-124.2300,Stop & Shop,Groceries,,Discover,['Brother Rent']
2024-06-27,-10.0000,Chipotle Mexican Grill,Restaurants,,Chase,[]
2024-06-28,-82.1200,Kura Revolving Sus,"Payment, Transfer",,Chase,[]
2024-07-02,-15.0000,Chili Square,Restaurants,,manual,['Brother Rent']
2024-07-02,239.1500,DIRECTPAY FULL BALANCE,"Payment, Transfer",,Discover,[]
2024-07-02,-70.8300,99 Ranch Market,Groceries,,Capital One,['Brother Rent']
2024-07-02,-10.0000,Chipotle Mexican Grill,Restaurants,,Chase,[]
